Timestamp	Filename	Error	Message
2018-11-05 09:58:35.674 -0800	AMMcenter.fmp12	0	Script “fmajax.exportXSL” imported as “fmajax.exportXSL 3” since a script named “fmajax.exportXSL” already exists.
2018-11-05 09:58:35.675 -0800	AMMcenter.fmp12	0	Script “JSONEncode” imported as “JSONEncode 3” since a script named “JSONEncode” already exists.
2018-11-05 09:58:35.678 -0800	Example Scripts 2	0	script steps imported : 0
2018-11-05 09:58:35.679 -0800	onDBOpen 2::2::Go to Layout	105	Layout “Introduction” missing.
2018-11-05 09:58:35.679 -0800	onDBOpen 2	0	script steps imported : 2
2018-11-05 09:58:35.683 -0800	onDBClose 2::8::Go to Layout	105	Layout “Introduction” missing.
2018-11-05 09:58:35.684 -0800	onDBClose 2::10::Replace Field Contents	102	Field “url” missing.
2018-11-05 09:58:35.684 -0800	onDBClose 2	0	script steps imported : 11
2018-11-05 09:58:35.686 -0800	send_message_to_file 2::3::Set Variable	106	Table referred to in the calculation “main::message” is missing.
2018-11-05 09:58:35.686 -0800	send_message_to_file 2	0	script steps imported : 4
2018-11-05 09:58:35.688 -0800	send_messge_to_hash 2::3::Perform Script	106	Table referred to in the calculation “main::message” is missing.
2018-11-05 09:58:35.688 -0800	send_messge_to_hash 2	0	script steps imported : 3
2018-11-05 09:58:35.689 -0800	get_message 2::2::Set Variable	106	Table referred to in the calculation “Case (	not IsEmpty ( $_argument ) ; 	$_argument ;	$_getmessage ; 	main::message ;	Get ( ScriptParameter ))” is missing.
2018-11-05 09:58:35.690 -0800	get_message 2	0	script steps imported : 3
2018-11-05 09:58:35.692 -0800	quote_me 2	0	script steps imported : 5
2018-11-05 09:58:35.693 -0800	--	0	script steps imported : 0
2018-11-05 09:58:35.693 -0800	Modules 3	0	script steps imported : 0
2018-11-05 09:58:35.694 -0800	fmajax 3	0	script steps imported : 0
2018-11-05 09:58:35.702 -0800	fmajax.READ ME 3	0	script steps imported : 102
2018-11-05 09:58:35.704 -0800	Public 3	0	script steps imported : 0
2018-11-05 09:58:35.707 -0800	fmajax.init 3	0	script steps imported : 14
2018-11-05 09:58:35.708 -0800	fmajax.return_temp_path 3	0	script steps imported : 2
2018-11-05 09:58:35.715 -0800	fmajax.(re)load_web_viewer ( [object name] ) 3	0	script steps imported : 27
2018-11-05 09:58:35.722 -0800	fmajax.import_web_files ( [filename] ) 3	0	script steps imported : 35
